Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcBAHM	14275	191	19	40	2	14023	152	0	0	0
bcBHRD	11277	4772	58	558	5	5884	1639	0	0	0
bcBIVR	11209	416	15	43	0	10735	154	0	0	0
bcBCJE	10723	360	18	70	4	10271	200	0	0	0
bcAYMG	9713	651	5	115	2	8940	256	0	0	0
bcAOPO	9638	3567	30	431	24	5586	1155	0	0	0
bcBTKQ	8870	3796	56	391	16	4611	1093	0	0	0
bcAAAN	8340	4192	20	175	4	3949	860	0	0	0
bcAIUA	8301	3421	45	480	12	4343	1179	0	0	0
bcAOON	7737	166	9	29	0	7533	98	0	0	0
bcBDXO	7190	474	11	92	4	6609	141	0	0	0
bcAPLE	6988	3148	26	254	10	3550	776	0	0	0
bcBNAL	6871	2729	49	397	12	3684	729	0	0	0
bcAQNC	6828	137	3	28	2	6658	80	0	0	0
bcARFX	6817	3000	41	376	4	3396	891	0	0	0
bcBXUQ	6816	3177	54	299	3	3283	1103	0	0	0
bcAJPX	6504	2624	22	250	17	3591	792	0	0	0
bcBXIX	6472	106	10	15	1	6340	74	0	0	0
bcBQXV	6272	2336	22	248	22	3644	824	0	0	0
bcBSVM	6272	2552	40	272	2	3406	844	0	0	0
bcAUXS	6217	2889	16	229	14	3069	773	0	0	0
bcAYNE	5893	2335	19	321	12	3206	764	0	0	0
bcBMBU	5842	3140	30	52	2	2618	751	0	0	0
bcAKXB	5667	2401	32	299	14	2921	755	0	0	0
bcBSDV	5658	2395	30	243	5	2985	649	0	0	0
bcAHZX	5648	2346	26	297	7	2972	684	0	0	0
bcBNRH	5572	2320	32	240	8	2972	739	0	0	0
bcAEUW	5458	2350	16	267	7	2818	796	0	0	0
bcANDX	5215	2210	19	322	12	2652	660	0	0	0
bcAJCT	5042	2241	20	236	1	2544	740	0	0	0
bcACKZ	5040	1952	16	208	7	2857	597	0	0	0
bcBMOE	4990	2249	9	154	1	2577	661	0	0	0
bcBPPO	4703	1896	12	177	6	2612	518	0	0	0
bcBTKS	4651	1741	17	235	3	2655	533	0	0	0
bcBOCT	4626	1738	42	280	8	2558	527	0	0	0
bcBADU	4622	1708	20	159	7	2728	526	0	0	0
bcBKHJ	4555	1805	36	276	25	2413	604	0	0	0
bcAUNM	4503	1911	25	225	7	2335	640	0	0	0
bcBTZQ	4419	1842	18	150	3	2406	538	0	0	0
bcBPNZ	4297	1308	17	143	3	2826	413	0	0	0
bcAPON	4246	1712	11	151	5	2367	470	0	0	0
bcBSGO	4242	1609	13	167	12	2441	489	0	0	0
bcBIFR	4144	1531	16	160	5	2432	525	0	0	0
bcBEHG	4110	1821	13	151	4	2121	566	0	0	0
bcATXC	4100	578	6	27	5	3484	193	0	0	0
bcBYFA	4090	816	8	93	2	3171	276	0	0	0
bcAIDR	4040	1653	10	216	2	2159	498	0	0	0
bcBHIM	4028	1646	21	159	2	2200	512	0	0	0
bcBVJK	3999	1665	11	173	1	2149	496	0	0	0
bcAUCH	3987	1573	10	154	7	2243	586	0	0	0
bcAVVP	3971	1856	12	100	4	1999	603	0	0	0
bcABFI	3969	1582	13	194	6	2174	539	0	0	0
bcAIAO	3960	1621	13	219	2	2105	471	0	0	0
bcBEAK	3944	1415	24	199	3	2303	454	0	0	0
bcBFOD	3934	1684	30	204	5	2011	588	0	0	0
bcAZXM	3882	1596	12	162	5	2107	495	0	0	0
bcBQWS	3875	1998	4	107	3	1763	489	0	0	0
bcAZPF	3867	1546	31	166	1	2123	432	0	0	0
bcBFZJ	3864	1526	14	170	6	2148	462	0	0	0
bcBAFV	3860	1431	19	141	14	2255	425	0	0	0
bcBAKQ	3846	1627	26	188	6	1999	475	0	0	0
bcARDY	3823	1531	19	153	4	2116	420	0	0	0
bcBYVG	3779	896	18	121	2	2742	263	0	0	0
bcAIXJ	3778	1605	18	145	2	2008	523	0	0	0
bcBVWQ	3674	1401	11	181	3	2078	435	0	0	0
bcAOPT	3654	1397	20	136	5	2096	488	0	0	0
bcBEAS	3642	1520	8	155	6	1953	423	0	0	0
bcBHLX	3641	1455	33	113	3	2037	434	0	0	0
bcBXXQ	3622	1246	25	145	3	2203	448	0	0	0
bcBGBA	3609	1420	15	159	5	2010	427	0	0	0
bcBIEZ	3586	1462	3	180	2	1939	437	0	0	0
bcBAJR	3576	1408	21	119	2	2026	439	0	0	0
bcBQPB	3550	1218	10	166	13	2143	433	0	0	0
bcBBWS	3517	1491	12	133	4	1877	422	0	0	0
bcBTIP	3515	1440	14	165	5	1891	454	0	0	0
bcASTR	3514	1369	15	196	4	1930	436	0	0	0
bcAWTZ	3486	1365	10	114	11	1986	454	0	0	0
bcBOSL	3476	1401	9	232	6	1828	494	0	0	0
bcBGXB	3474	874	7	54	0	2539	234	0	0	0
bcBAUD	3468	1641	11	149	2	1665	483	0	0	0
bcBNFK	3462	1428	8	84	5	1937	513	0	0	0
bcARUR	3427	1482	5	168	6	1766	438	0	0	0
bcBIKW	3426	1314	6	156	5	1945	422	0	0	0
bcARSO	3377	1342	6	141	3	1885	430	0	0	0
bcBBPX	3351	1261	27	111	3	1949	397	0	0	0
bcBMND	3350	1364	4	159	4	1819	435	0	0	0
bcAZQQ	3331	1342	9	132	3	1845	414	0	0	0
bcAEDU	3328	1302	20	159	5	1842	452	0	0	0
bcBJMG	3324	1170	8	121	0	2025	326	0	0	0
bcBNFI	3312	491	5	43	2	2771	180	0	0	0
bcAPTY	3300	1282	7	169	2	1840	432	0	0	0
bcBOCO	3284	1448	7	136	1	1692	436	0	0	0
bcBVRA	3276	1235	6	122	4	1909	393	0	0	0
bcBLPS	3265	1256	16	77	8	1908	375	0	0	0
bcAZUA	3260	1187	17	96	1	1959	388	0	0	0
bcATOK	3258	1280	12	148	2	1816	377	0	0	0
bcALOH	3255	1330	26	133	2	1764	439	0	0	0
bcAKOD	3255	1473	9	128	3	1642	468	0	0	0
bcBZAK	3249	1305	15	125	7	1797	377	0	0	0
bcBLSI	3246	1299	7	147	10	1783	407	0	0	0
bcBFZL	3237	734	7	85	11	2400	251	0	0	0
bcAQFF	3234	1251	2	93	3	1885	391	0	0	0
bcAVBA	3224	1020	17	116	3	2068	410	0	0	0
bcBCYN	3203	1287	5	152	3	1756	396	0	0	0
bcALFG	3196	1309	33	169	5	1680	427	0	0	0
bcAFJV	3197	1328	8	131	4	1726	427	0	0	0
bcAMLA	3191	1381	12	113	7	1678	455	0	0	0
bcACVH	3184	1437	19	114	5	1609	448	0	0	0
bcBETA	3181	1114	7	144	2	1914	367	0	0	0
bcBRHN	3163	1203	7	99	1	1853	388	0	0	0
bcBXAB	3162	1634	9	78	0	1441	454	0	0	0
bcBYFU	3152	1202	7	192	8	1743	376	0	0	0
bcBXWP	3133	1178	9	152	2	1792	401	0	0	0
bcBMYW	3114	1174	7	122	5	1806	325	0	0	0
bcAZXH	3105	1081	15	123	4	1882	336	0	0	0
bcAXAM	3105	1328	7	164	4	1602	427	0	0	0
bcBLRU	3099	1256	30	174	0	1639	418	0	0	0
bcAKOB	3086	1053	6	93	5	1929	334	0	0	0
bcBGSQ	3068	1071	14	201	0	1782	384	0	0	0
bcBXQB	3048	1257	12	135	2	1642	422	0	0	0
bcAYRE	3017	1321	6	156	2	1532	406	0	0	0
bcBPMF	3016	1290	12	120	8	1586	353	0	0	0
bcAJWE	3014	1271	17	149	2	1575	400	0	0	0
bcBYWM	3012	1284	11	151	8	1558	414	0	0	0
bcBEAL	3006	1353	19	81	2	1551	348	0	0	0
bcAJWR	3006	1267	4	126	1	1608	398	0	0	0
bcCBYD	2976	1296	19	120	1	1540	438	0	0	0
bcANXX	2954	1227	9	134	3	1581	359	0	0	0
bcAIMT	2949	1193	11	129	4	1612	445	0	0	0
bcBOXX	2945	1219	21	125	1	1579	402	0	0	0
bcAMNV	2932	1291	5	134	2	1500	430	0	0	0
bcBLHD	2925	1234	11	124	2	1554	445	0	0	0
bcBNBM	2918	1140	25	119	4	1630	305	0	0	0
bcBNAM	2903	1099	21	118	3	1662	300	0	0	0
bcAPMQ	2891	1184	15	115	4	1573	314	0	0	0
bcAXBI	2891	1493	6	91	1	1300	414	0	0	0
bcBORL	2884	1333	6	75	4	1466	411	0	0	0
bcADGC	2872	1142	10	168	1	1551	422	0	0	0
bcBVBP	2869	1235	11	141	3	1479	375	0	0	0
bcABWU	2866	1137	6	106	3	1614	324	0	0	0
bcATIK	2843	1220	8	117	6	1492	316	0	0	0
bcCCFW	2840	1131	8	143	6	1552	387	0	0	0
bcABKJ	2840	1155	29	117	0	1539	324	0	0	0
bcBNUR	2833	848	23	69	3	1890	266	0	0	0
bcAPVA	2829	1134	6	129	4	1556	374	0	0	0
bcAIJP	2823	1343	10	166	0	1304	409	0	0	0
bcABLY	2819	1206	13	100	1	1499	393	0	0	0
bcARJZ	2818	1210	17	78	0	1513	322	0	0	0
bcACOW	2814	1360	10	28	3	1413	360	0	0	0
bcBCED	2809	1155	5	97	2	1550	329	0	0	0
bcBRJZ	2808	1186	9	122	2	1489	372	0	0	0
bcBGBU	2781	1020	21	163	4	1573	323	0	0	0
bcBOMC	2774	1089	10	125	2	1548	328	0	0	0
bcADLL	2760	1037	3	105	0	1615	365	0	0	0
bcAJZT	2754	1104	19	128	5	1498	352	0	0	0
bcBOHE	2738	1135	5	99	5	1494	304	0	0	0
bcAKYC	2734	1056	6	109	8	1555	334	0	0	0
bcBETU	2727	1019	41	119	3	1545	304	0	0	0
bcAPBA	2725	1106	40	70	4	1505	378	0	0	0
bcAVKS	2724	1067	11	143	4	1499	345	0	0	0
bcAIPZ	2723	1074	10	148	1	1490	391	0	0	0
bcBVYS	2685	1225	13	132	0	1315	396	0	0	0
bcBTVO	2679	1070	3	53	2	1551	305	0	0	0
bcBRFY	2654	703	6	75	2	1868	205	0	0	0
bcBYIC	2648	1220	18	98	1	1311	343	0	0	0
bcBNCB	2648	993	8	64	3	1580	253	0	0	0
bcBJJM	2637	1184	7	76	2	1368	326	0	0	0
bcAAAW	2633	1133	4	92	6	1398	311	0	0	0
bcBMZK	2628	1121	9	107	4	1387	315	0	0	0
bcBXOS	2621	1078	5	103	4	1431	346	0	0	0
bcCBSM	2606	1071	20	102	3	1410	371	0	0	0
bcBXLO	2602	1067	10	91	4	1430	381	0	0	0
