Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcBAHM	14275	6920	88	265	1	7001	2144	0	0	0
bcBHRD	11278	2070	23	121	1	9063	690	0	0	0
bcBIVR	11210	5077	18	144	2	5969	1125	0	0	0
bcBCJE	10723	6031	74	225	4	4389	1864	0	0	0
bcAYMG	9713	5728	45	182	0	3758	1614	0	0	0
bcAOPO	9638	1848	17	109	1	7663	604	0	0	0
bcBTKQ	8870	1232	22	49	0	7567	420	0	0	0
bcAAAN	8339	461	9	35	0	7834	179	0	0	0
bcAIUA	8301	1568	39	65	1	6628	569	0	0	0
bcAOON	7737	4357	36	158	1	3185	1353	0	0	0
bcBDXO	7190	2928	9	33	0	4220	617	0	0	0
bcAPLE	6988	827	10	60	1	6090	259	0	0	0
bcBNAL	6871	990	11	46	1	5823	309	0	0	0
bcAQNC	6828	3139	31	153	1	3504	996	0	0	0
bcARFX	6817	923	16	35	0	5843	294	0	0	0
bcBXUQ	6816	1213	8	52	0	5543	475	0	0	0
bcAJPX	6504	1084	12	57	3	5348	344	0	0	0
bcBXIX	6472	3163	18	122	2	3167	991	0	0	0
bcBQXV	6273	1402	13	70	3	4785	548	0	0	0
bcBSVM	6272	1175	35	83	1	4978	395	0	0	0
bcAUXS	6213	706	9	35	0	5463	226	0	0	0
bcAYNE	5893	1131	34	70	0	4658	347	0	0	0
bcBMBU	5842	163	10	12	0	5657	81	0	0	0
bcAKXB	5667	1040	25	63	1	4538	334	0	0	0
bcBSDV	5658	866	12	43	0	4737	254	0	0	0
bcAHZX	5648	986	7	59	1	4595	301	0	0	0
bcBNRH	5572	861	15	55	0	4641	279	0	0	0
bcAEUW	5457	954	10	40	0	4453	339	0	0	0
bcANDX	5216	833	28	53	1	4301	286	0	0	0
bcAJCT	5042	1060	21	37	1	3923	357	0	0	0
bcACKZ	5040	952	13	66	0	4009	285	0	0	0
bcBMOE	4990	690	5	45	0	4250	248	0	0	0
bcBPPO	4702	804	14	21	3	3860	232	0	0	0
bcBTKS	4651	1024	30	30	0	3567	304	0	0	0
bcBOCT	4626	767	11	33	1	3814	209	0	0	0
bcBADU	4622	905	12	32	0	3673	253	0	0	0
bcBKHJ	4555	770	12	44	1	3728	244	0	0	0
bcAUNM	4501	744	22	47	0	3688	238	0	0	0
bcBTZQ	4419	801	19	51	0	3548	250	0	0	0
bcBPNZ	4297	1089	10	35	2	3161	254	0	0	0
bcAPON	4246	654	23	22	0	3547	216	0	0	0
bcBSGO	4242	681	5	44	0	3512	218	0	0	0
bcBIFR	4144	888	9	15	1	3231	257	0	0	0
bcBEHG	4110	583	7	38	0	3482	229	0	0	0
bcATXC	4100	1842	7	12	0	2239	384	0	0	0
bcBYFA	4090	1590	7	17	0	2476	340	0	0	0
bcAIDR	4040	741	12	29	2	3256	258	0	0	0
bcBHIM	4028	711	33	23	0	3261	243	0	0	0
bcBVJK	3999	657	25	30	0	3287	238	0	0	0
bcAUCH	3987	797	19	29	0	3142	337	0	0	0
bcAVVP	3971	537	11	26	0	3397	199	0	0	0
bcABFI	3969	657	15	49	1	3247	244	0	0	0
bcAIAO	3960	765	9	25	0	3161	248	0	0	0
bcBEAK	3944	830	10	36	0	3068	245	0	0	0
bcBFOD	3934	674	4	46	0	3210	264	0	0	0
bcAZXM	3882	573	14	21	0	3274	199	0	0	0
bcBQWS	3874	296	1	21	0	3556	110	0	0	0
bcAZPF	3867	655	16	24	0	3172	206	0	0	0
bcBFZJ	3864	688	13	22	1	3140	223	0	0	0
bcBAFV	3859	780	6	22	0	3051	235	0	0	0
bcBAKQ	3846	579	13	8	0	3246	213	0	0	0
bcARDY	3823	677	7	25	1	3113	220	0	0	0
bcBYVG	3779	1331	21	31	0	2396	358	0	0	0
bcAIXJ	3778	685	17	33	2	3041	214	0	0	0
bcBVWQ	3673	834	8	35	0	2796	210	0	0	0
bcAOPT	3654	669	14	58	1	2912	236	0	0	0
bcBEAS	3643	671	7	49	1	2915	197	0	0	0
bcBHLX	3641	743	11	27	0	2860	228	0	0	0
bcBXXQ	3622	1083	7	25	0	2507	288	0	0	0
bcBGBA	3609	602	5	34	0	2968	179	0	0	0
bcBIEZ	3586	690	14	30	0	2852	233	0	0	0
bcBAJR	3576	573	7	27	1	2968	169	0	0	0
bcBQPB	3550	710	15	35	0	2790	257	0	0	0
bcBBWS	3517	597	8	49	0	2863	164	0	0	0
bcBTIP	3515	661	6	15	0	2833	205	0	0	0
bcASTR	3513	676	3	40	0	2794	196	0	0	0
bcAWTZ	3486	68	8	13	1	3396	39	0	0	0
bcBOSL	3476	603	16	49	0	2808	221	0	0	0
bcBGXB	3474	1449	45	59	1	1920	466	0	0	0
bcBAUD	3468	493	6	23	0	2946	178	0	0	0
bcBNFK	3461	739	20	43	1	2658	263	0	0	0
bcARUR	3427	490	4	11	1	2921	170	0	0	0
bcBIKW	3426	690	7	32	0	2697	229	0	0	0
bcARSO	3377	583	9	47	0	2738	194	0	0	0
bcBBPX	3351	749	6	16	2	2578	205	0	0	0
bcBMND	3350	561	27	29	0	2733	200	0	0	0
bcAZQQ	3331	608	6	37	0	2680	194	0	0	0
bcAEDU	3328	587	22	28	0	2691	208	0	0	0
bcBJMG	3324	575	32	26	0	2691	176	0	0	0
bcBNFI	3312	1794	17	69	0	1432	539	0	0	0
bcAPTY	3300	538	3	24	2	2733	183	0	0	0
bcBOCO	3284	552	7	20	0	2705	177	0	0	0
bcBVRA	3276	697	10	32	1	2536	208	0	0	0
bcBLPS	3265	586	6	50	0	2623	179	0	0	0
bcAZUA	3260	663	2	43	0	2552	195	0	0	0
bcATOK	3258	444	7	31	0	2776	154	0	0	0
bcALOH	3255	617	11	22	0	2605	214	0	0	0
bcAKOD	3254	452	22	26	0	2754	182	0	0	0
bcBZAK	3249	618	10	17	0	2604	189	0	0	0
bcBLSI	3246	647	13	24	2	2560	200	0	0	0
bcBFZL	3237	1112	7	23	0	2095	253	0	0	0
bcAQFF	3234	639	4	32	0	2559	180	0	0	0
bcAVBA	3224	677	33	27	5	2482	216	0	0	0
bcBCYN	3203	654	4	22	0	2523	198	0	0	0
bcALFG	3196	627	25	23	0	2521	231	0	0	0
bcAFJV	3197	508	11	41	1	2636	199	0	0	0
bcAMLA	3190	504	6	30	2	2648	173	0	0	0
bcACVH	3184	500	14	17	0	2653	189	0	0	0
bcBETA	3181	613	7	41	1	2519	196	0	0	0
bcBRHN	3163	603	10	28	0	2522	176	0	0	0
bcBXAB	3162	183	4	10	0	2965	76	0	0	0
bcBYFU	3152	664	7	30	0	2451	187	0	0	0
bcBXWP	3133	550	21	20	1	2541	198	0	0	0
bcBMYW	3114	542	8	18	1	2545	163	0	0	0
bcAZXH	3105	577	23	46	0	2459	190	0	0	0
bcAXAM	3105	632	7	34	1	2431	206	0	0	0
bcBLRU	3099	568	8	25	0	2498	196	0	0	0
bcAKOB	3086	726	28	24	1	2307	211	0	0	0
bcBGSQ	3068	555	16	22	0	2475	194	0	0	0
bcBXQB	3048	596	14	28	0	2410	222	0	0	0
bcAYRE	3017	503	12	13	0	2489	181	0	0	0
bcBPMF	3016	484	20	23	0	2489	157	0	0	0
bcAJWE	3014	578	13	29	0	2394	185	0	0	0
bcBYWM	3010	455	5	18	1	2531	148	0	0	0
bcBEAL	3006	454	10	20	1	2521	158	0	0	0
bcAJWR	3006	468	3	39	0	2496	173	0	0	0
bcCBYD	2976	507	9	48	0	2412	180	0	0	0
bcANXX	2954	592	16	20	0	2326	185	0	0	0
bcAIMT	2949	654	18	44	0	2233	215	0	0	0
bcBOXX	2945	526	20	30	0	2369	184	0	0	0
bcAMNV	2932	542	5	30	0	2355	191	0	0	0
bcBLHD	2925	533	6	21	0	2365	173	0	0	0
bcBNBM	2918	490	9	18	0	2401	138	0	0	0
bcBNAM	2903	512	11	45	0	2335	146	0	0	0
bcAPMQ	2891	587	24	23	1	2256	175	0	0	0
bcAXBI	2891	268	7	28	0	2588	103	0	0	0
bcBORL	2883	322	3	5	0	2553	106	0	0	0
bcADGC	2872	574	5	33	1	2259	212	0	0	0
bcBVBP	2869	449	4	28	0	2388	133	0	0	0
bcABWU	2866	485	8	29	1	2343	146	0	0	0
bcATIK	2843	456	6	11	0	2370	127	0	0	0
bcCCFW	2840	499	24	71	1	2245	184	0	0	0
bcABKJ	2840	371	6	6	0	2457	147	0	0	0
