Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcBUTF	5249	2215	33	91	6	2904	1723	0	0	0
bcASRT	4927	392	7	31	1	4496	305	0	0	0
bcCAQA	4150	2011	19	77	2	2041	1646	0	0	0
bcBMZS	4067	1589	17	76	1	2384	1152	0	0	0
bcAYYS	3862	1956	19	77	1	1809	1610	0	0	0
bcAUGA	3833	1653	13	66	2	2099	1300	0	0	0
bcAJFA	3715	447	6	22	0	3240	305	0	0	0
bcBAJI	3642	1747	12	49	0	1834	1298	0	0	0
bcAUQC	3599	1754	18	65	5	1757	1450	0	0	0
bcBLEK	3546	1704	17	60	2	1763	1383	0	0	0
bcBRQZ	3542	1821	19	45	2	1655	1439	0	0	0
bcBAFX	3496	1284	19	45	2	2146	943	0	0	0
bcBVTM	3479	1324	16	69	1	2069	1044	0	0	0
bcALCG	3384	1095	16	48	0	2225	678	0	0	0
bcBGKA	3340	1831	14	50	0	1445	1448	0	0	0
bcBNDV	3295	1573	11	54	4	1653	1170	0	0	0
bcAIAH	3288	1557	9	55	4	1663	1251	0	0	0
bcAYNH	3287	1205	22	56	1	2003	800	0	0	0
bcAAXS	3258	1431	17	64	3	1743	1218	0	0	0
bcAJCR	3199	1266	11	26	0	1896	643	0	0	0
bcABYI	3198	1310	17	46	4	1821	991	0	0	0
bcACJU	3156	64	1	7	1	3083	52	0	0	0
bcAVJO	3140	1447	10	69	5	1609	1204	0	0	0
bcAPGC	3138	1446	15	49	4	1624	1135	0	0	0
bcAWNI	3116	771	6	23	3	2313	580	0	0	0
bcAHRQ	3099	1447	16	30	0	1606	1085	0	0	0
bcBTUP	3091	988	12	45	1	2045	759	0	0	0
bcBVTW	3076	1230	28	49	3	1766	990	0	0	0
bcAKDT	3065	1641	15	55	2	1352	1312	0	0	0
bcAUQB	3052	1303	15	46	3	1685	1070	0	0	0
bcARTV	3030	1418	15	43	3	1551	1162	0	0	0
bcABRT	3028	1391	25	48	2	1562	1156	0	0	0
bcBDYJ	3004	1412	7	37	0	1548	1096	0	0	0
bcANYW	2989	1130	7	39	3	1810	775	0	0	0
bcBNFJ	2956	1445	19	54	0	1438	1196	0	0	0
bcAVLV	2954	988	10	32	3	1921	807	0	0	0
bcBSHZ	2945	970	3	32	0	1940	688	0	0	0
bcBAEE	2938	1160	15	37	1	1725	845	0	0	0
