Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcAXDI	4264	109	9	23	1	4122	108	0	0	0
bcBQQB	3291	143	8	22	1	3117	118	0	0	0
bcBEBE	2509	460	8	37	2	2002	322	0	0	0
bcAZUY	2272	1046	5	48	6	1167	789	0	0	0
bcABXO	2151	63	7	8	1	2072	58	0	0	0
bcBAEA	2146	888	7	62	2	1187	662	0	0	0
bcBWQH	2090	37	3	9	0	2041	37	0	0	0
bcBNMB	2062	38	0	6	0	2018	34	0	0	0
bcAQVS	1920	138	3	18	0	1761	110	0	0	0
bcBSQE	1912	77	1	15	0	1819	64	0	0	0
bcBFTV	1805	38	3	8	0	1756	39	0	0	0
bcBKCI	1783	45	1	3	0	1734	36	0	0	0
bcAPKN	1622	60	2	7	0	1553	48	0	0	0
bcBJIQ	1537	585	4	56	1	891	430	0	0	0
bcAFNL	1484	293	2	43	1	1145	231	0	0	0
bcCADX	1450	54	3	12	0	1381	41	0	0	0
bcAZCO	1448	155	4	17	1	1271	125	0	0	0
bcBIFI	1421	757	8	55	0	601	593	0	0	0
bcAWVM	1398	140	3	11	1	1243	123	0	0	0
bcBVTJ	1361	546	10	36	1	768	438	0	0	0
bcARKQ	1341	45	0	6	1	1289	37	0	0	0
bcAAYE	1339	46	2	8	0	1283	40	0	0	0
bcBNHE	1339	175	4	15	2	1143	158	0	0	0
bcBQMR	1314	27	1	11	0	1275	25	0	0	0
bcBAWV	1294	71	1	10	0	1212	58	0	0	0
bcAEXB	1290	199	4	22	0	1065	162	0	0	0
bcBTWQ	1283	499	4	26	2	752	394	0	0	0
bcABSU	1267	459	5	62	3	738	354	0	0	0
bcAWRI	1264	202	6	23	0	1033	172	0	0	0
bcAVJE	1258	30	0	6	0	1222	23	0	0	0
bcBFZP	1255	547	4	37	3	664	401	0	0	0
bcAXMR	1254	147	2	13	1	1091	126	0	0	0
bcABSQ	1250	69	0	7	1	1173	54	0	0	0
bcBSJB	1243	33	5	4	0	1201	29	0	0	0
bcBAUB	1238	18	0	3	0	1217	18	0	0	0
bcBDWI	1226	490	1	60	2	673	379	0	0	0
bcBINE	1217	23	3	7	0	1184	22	0	0	0
bcAUHK	1212	221	1	32	0	958	184	0	0	0
bcBSBK	1206	544	5	27	0	630	384	0	0	0
bcABWF	1197	416	8	66	2	705	322	0	0	0
bcAPKE	1195	98	2	9	0	1086	92	0	0	0
bcAPGN	1192	108	1	19	0	1064	83	0	0	0
bcAAEH	1185	35	2	10	1	1137	34	0	0	0
bcBYFA	1172	277	1	36	0	858	199	0	0	0
bcANYE	1166	27	2	8	0	1129	21	0	0	0
bcAYSW	1159	22	2	6	0	1129	22	0	0	0
bcBUDS	1155	488	1	21	1	644	366	0	0	0
bcBSCJ	1143	498	4	36	2	603	365	0	0	0
bcAPMX	1125	284	2	35	0	804	224	0	0	0
bcBXFB	1122	18	1	9	0	1094	16	0	0	0
bcAPOG	1119	79	2	12	0	1026	67	0	0	0
bcAGGJ	1109	485	2	31	0	591	371	0	0	0
bcBIGW	1105	207	1	26	0	871	167	0	0	0
bcBFWB	1104	216	1	36	1	850	161	0	0	0
bcBNBZ	1099	422	3	71	5	598	317	0	0	0
bcASQS	1095	92	0	1	1	1001	55	0	0	0
bcBAHQ	1089	445	8	55	1	580	335	0	0	0
bcARUL	1081	120	0	18	0	943	94	0	0	0
bcALWU	1054	126	2	9	1	916	105	0	0	0
bcBUCO	1030	437	5	33	0	555	330	0	0	0
bcBNFK	1028	22	1	2	1	1002	19	0	0	0
bcAGZF	1024	32	1	4	0	987	28	0	0	0
bcBVUQ	1021	528	1	15	0	477	357	0	0	0
bcARQL	1004	65	1	11	0	927	56	0	0	0
bcBPNX	1004	346	2	37	0	619	265	0	0	0
bcBOPB	991	412	3	32	3	541	328	0	0	0
bcATRH	979	227	0	41	2	709	191	0	0	0
bcAEOV	972	431	4	34	0	503	358	0	0	0
bcAKWB	966	22	1	3	0	940	18	0	0	0
bcBAJK	961	366	12	54	0	529	271	0	0	0
bcBAIP	958	379	6	52	1	520	300	0	0	0
bcAJYN	951	416	2	8	2	523	308	0	0	0
bcBDTB	949	84	1	13	0	851	71	0	0	0
bcAQGP	938	401	1	41	2	493	304	0	0	0
bcBQFE	931	35	2	4	0	890	31	0	0	0
bcAWUO	930	32	4	7	0	887	29	0	0	0
bcARRL	920	374	3	55	3	485	303	0	0	0
bcAEVB	908	46	2	4	1	855	40	0	0	0
bcBOGD	903	297	5	40	3	558	249	0	0	0
bcAVXB	901	157	0	24	0	720	136	0	0	0
bcAUTC	896	382	4	40	1	469	284	0	0	0
bcANCL	895	361	2	49	1	482	260	0	0	0
bcBUKW	894	28	0	7	0	859	24	0	0	0
bcAOPF	894	362	2	69	1	460	270	0	0	0
bcBYXK	893	351	3	45	0	494	274	0	0	0
bcBAEP	892	331	2	47	4	508	254	0	0	0
bcAPAQ	892	54	1	9	0	828	47	0	0	0
bcBUJV	888	237	3	32	1	615	184	0	0	0
bcBDZK	881	393	1	56	0	431	302	0	0	0
bcBMSP	880	21	0	6	0	853	20	0	0	0
bcAHHD	877	57	0	9	0	811	44	0	0	0
bcAVYB	869	158	1	23	0	687	128	0	0	0
bcBTTY	869	15	1	4	0	849	16	0	0	0
bcALXC	866	419	1	28	0	418	317	0	0	0
bcBKAZ	865	418	2	16	3	426	336	0	0	0
bcBRHE	863	316	6	27	1	513	252	0	0	0
bcBYYJ	861	374	2	30	2	453	273	0	0	0
bcBUYH	859	120	5	9	0	725	96	0	0	0
bcBSFN	858	123	3	11	1	720	99	0	0	0
bcAZVF	848	364	3	49	1	431	289	0	0	0
bcAXHV	846	84	1	28	2	731	68	0	0	0
bcAIAV	843	49	1	1	0	792	42	0	0	0
bcBTKG	841	331	5	47	1	457	251	0	0	0
bcALSA	840	354	4	29	2	451	287	0	0	0
bcAORT	839	270	2	46	1	520	220	0	0	0
bcBJVO	838	11	1	2	0	824	12	0	0	0
bcAKVP	832	356	3	31	4	438	270	0	0	0
bcBVPP	827	391	4	16	0	416	280	0	0	0
bcBKYW	827	19	1	3	0	804	20	0	0	0
bcAPDM	826	417	5	11	0	393	312	0	0	0
bcCAIK	824	367	2	18	0	437	271	0	0	0
bcBPBY	814	131	1	10	1	671	110	0	0	0
bcAZPD	813	331	1	40	1	440	261	0	0	0
bcAERV	809	421	6	23	3	356	298	0	0	0
bcBPMI	809	334	4	54	0	417	276	0	0	0
bcAUXV	808	293	1	32	3	479	237	0	0	0
bcBSPT	802	242	6	25	1	528	188	0	0	0
bcAECM	801	303	4	40	0	454	236	0	0	0
bcAEUD	799	17	0	6	0	776	14	0	0	0
bcBTME	799	345	2	16	1	435	249	0	0	0
bcAXJT	798	140	2	19	1	636	123	0	0	0
bcBGQI	795	348	0	41	0	406	271	0	0	0
bcBVRO	795	22	0	4	0	769	19	0	0	0
bcBZBH	794	294	1	34	1	464	218	0	0	0
bcACOA	790	297	3	32	0	458	235	0	0	0
bcAXBA	788	53	1	10	1	723	40	0	0	0
bcAABW	783	360	2	10	0	411	240	0	0	0
bcBBWR	780	355	3	28	1	393	268	0	0	0
bcBLVD	780	416	6	16	0	342	298	0	0	0
bcBASV	780	414	5	36	2	323	315	0	0	0
bcAFZS	779	286	3	26	1	463	241	0	0	0
bcBVBM	776	16	0	3	0	757	14	0	0	0
bcBAJX	771	334	2	27	2	406	222	0	0	0
bcAZRB	771	301	9	40	0	421	229	0	0	0
bcBTID	769	245	2	39	1	482	204	0	0	0
bcBOEL	769	282	5	38	0	444	228	0	0	0
